Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2010-08-04,70.279999,71.470001,70.279999,71.120003,50.709911000000005,6204800,CAT
2010-08-05,70.82,72.25,70.809998,71.95999900000001,51.308868,7415000,CAT
2010-08-06,71.010002,71.93,70.300003,71.559998,51.023628,5463400,CAT
2010-08-09,72.059998,72.17999999999999,71.419998,72.07,51.38727599999999,3625400,CAT
2010-08-10,70.87999699999999,71.989998,70.580002,71.419998,50.923813,6082400,CAT
2010-08-11,70.010002,70.160004,68.349998,68.70999900000001,48.991535000000006,9221200,CAT
2010-08-12,67.5,68,66.779999,67.5,48.12879900000001,7639900,CAT
2010-08-13,67.739998,68.45999900000001,67.20999900000001,68.010002,48.492409,6659300,CAT
2010-08-16,67.620003,68.98000300000001,67.059998,68.489998,48.83467099999999,5432500,CAT
2010-08-17,69.440002,70.760002,69.300003,69.739998,49.725941000000006,5946900,CAT
2010-08-18,69.82,70.440002,69.059998,69.75,49.733078000000006,4988000,CAT
2010-08-19,69.870003,70.5,68.419998,69.290001,49.405086999999995,9625400,CAT
2010-08-20,69.400002,69.540001,67.45999900000001,68.860001,49.098476000000005,8022000,CAT
2010-08-23,68.699997,69.75,66.720001,66.839996,47.658184,8878600,CAT
2010-08-24,65.589996,65.839996,64.309998,65.040001,46.37474399999999,9669800,CAT
2010-08-25,64.290001,64.98000300000001,63.339999999999996,64.699997,46.13232800000001,8679500,CAT
2010-08-26,64.830002,65.82,63.77,63.95000099999999,45.597553000000005,7075100,CAT
2010-08-27,64.760002,66.15000199999999,63.360001,65.900002,46.987938,7486300,CAT
2010-08-30,66.139999,66.160004,64.45999900000001,64.470001,45.968334000000006,5133900,CAT
2010-08-31,64.139999,65.849998,63.919998,65.160004,46.460327,6760700,CAT
2010-09-01,67.050003,68.540001,66.349998,68.160004,48.59937300000001,9071200,CAT
2010-09-02,68.349998,68.790001,67.75,68.540001,48.870323,5293400,CAT
2010-09-03,69.94999700000001,70.589996,69.540001,70.080002,49.968361,7837700,CAT
2010-09-07,69.779999,70.050003,68.800003,69.699997,49.697430000000004,6841700,CAT
2010-09-08,69.98000300000001,71.48000300000001,69.94999700000001,70.739998,50.438961,6323200,CAT
2010-09-09,71.559998,71.830002,70.010002,70.639999,50.367675999999996,5355900,CAT
2010-09-10,70.93,71.559998,70.370003,71.260002,50.809742,5018300,CAT
2010-09-13,71.95999900000001,72.48000300000001,71.70999900000001,72.239998,51.508495,7694600,CAT
2010-09-14,72.279999,72.370003,71.57,71.830002,51.216148000000004,6040400,CAT
2010-09-15,71.37999699999999,72.269997,70.800003,72.12999699999999,51.430073,5506100,CAT
2010-09-16,71.919998,72.349998,71.279999,72,51.337363999999994,6233000,CAT
2010-09-17,72.220001,73.309998,71.089996,73.17999999999999,52.17873000000001,11341800,CAT
2010-09-20,73.260002,74.800003,72.87999699999999,74.75,53.298172000000015,8886300,CAT
2010-09-21,74.790001,77.110001,74.720001,76.389999,54.467537,14968300,CAT
2010-09-22,76.25,76.5,75.5,76.17999999999999,54.31778699999999,8386100,CAT
2010-09-23,75.419998,77.5,75,76.260002,54.374832,8745800,CAT
2010-09-24,77.800003,79.93,77.620003,79.73000300000001,56.849025999999995,14218600,CAT
2010-09-27,79.699997,79.98000300000001,78.900002,79.540001,56.713543,8361900,CAT
2010-09-28,79.440002,79.940002,78.43,79.66999799999999,56.806202,7784800,CAT
2010-09-29,79.599998,80,79.419998,79.989998,57.034366999999996,7939900,CAT
2010-09-30,80.040001,80.080002,78.20999900000001,78.67999999999999,56.10033000000001,11940800,CAT
2010-10-01,78.290001,78.87999699999999,77.529999,78.220001,55.77233900000001,8540800,CAT
2010-10-04,78.019997,78.260002,76.510002,77.269997,55.094986,6418700,CAT
2010-10-05,78.48000300000001,79.760002,78.199997,79.400002,56.613701,7140300,CAT
2010-10-06,79.599998,79.900002,78.48000300000001,79.080002,56.385566999999995,6252200,CAT
2010-10-07,79.45999900000001,79.790001,77.849998,78.739998,56.14312,8978100,CAT
2010-10-08,79.41000400000001,81,78.93,80.370003,57.305325,14296600,CAT
2010-10-11,80.029999,80.75,79.510002,79.98000300000001,57.027256,4593700,CAT
2010-10-12,79.75,79.75,78.300003,79.339996,56.570919,10034200,CAT
2010-10-13,80.360001,81.19000199999999,80.080002,80.290001,57.248299,8493200,CAT
2010-10-14,80.489998,80.830002,79.269997,79.91000400000001,56.977340999999996,5663900,CAT
2010-10-15,80.279999,80.470001,79,79.75,56.86327,6522900,CAT
2010-10-18,79.94999700000001,80.510002,79.660004,80.239998,57.212639,6542700,CAT
2010-10-19,78.970001,79.70999900000001,77.769997,78.550003,56.007645,9857200,CAT
2010-10-20,78.900002,80.779999,78.809998,80.32,57.269684,9662300,CAT
2010-10-21,80.989998,81.199997,77.510002,78.889999,56.55991,17736900,CAT
2010-10-22,78.760002,78.91000400000001,77.860001,78.330002,56.158432000000005,6445800,CAT
2010-10-25,78.70999900000001,80,78.5,79.050003,56.67461,6484700,CAT
2010-10-26,78.110001,79.059998,77.870003,78.65000199999999,56.38782499999999,6240500,CAT
2010-10-27,78.199997,78.41000400000001,77.120003,78.220001,56.079556000000004,6782800,CAT
2010-10-28,78.870003,79,76.779999,77.739998,55.73541300000001,7055800,CAT
2010-10-29,77.610001,78.75,77.580002,78.599998,56.352005,4563900,CAT
2010-11-01,78.970001,80.17999999999999,78.510002,79.269997,56.832336000000005,7470500,CAT
2010-11-02,79.989998,80.43,79.519997,79.75,57.176491,4941400,CAT
2010-11-03,79.82,79.94999700000001,78.550003,79.87999699999999,57.269688,5771800,CAT
2010-11-04,80.82,83.279999,80.760002,83.17999999999999,59.635609,13044100,CAT
2010-11-05,83.25,83.839996,82.93,83.540001,59.8937,6271600,CAT
2010-11-08,83.25,83.550003,82.400002,83.120003,59.592606,4283800,CAT
2010-11-09,83.199997,83.470001,81.41000400000001,81.91000400000001,58.72509000000001,6030100,CAT
2010-11-10,82.160004,82.839996,81.300003,82.45999900000001,59.1194,5944000,CAT
